Zone géographique,Entreprise,Sous-catégorie,ID commande,Nom du client,Région,Nom du produit,Mode d'expédition,Pays,Remise,Grand public,Taux de remise,Catégorie,ID produit,Date d'expédition,Quantité,Profit,ID,Vente,Date de commande,ID client,Ville,Entreprise individuelle
Centre,1,Art,ES-2011-5235241,Trinité Arpin,Île-de-France,"Binney & Smith Toile, Métal",Le même jour,France,0,0,TR1,Fournitures de bureau,FOU-AR-10004327,27-Aug-14,3,29.97,49,157.86,26-Aug-14,TA-21175,Taverny,0
Centre,0,Stockage,ES-2011-4821517,Martine Plourde,Rhénanie-du-Nord-Westphalie,"Tenex Boîte, Industriel",Tarif normal,Allemagne,0.1,0,TR1,Fournitures de bureau,FOU-ST-10000697,10-Jul-14,5,31.41,7750,76.41,06-Jul-14,MP-17470,Gronau,1
Centre,0,Art,ES-2011-1664904,Aubin Reault,Normandie,"BIC Toile, Métal",Prioritaire,France,0,1,TR1,Fournitures de bureau,FOU-AR-10002783,28-Jun-14,1,19.23,2038,54.96,26-Jun-14,AR-11200,Dieppe,0
Centre,0,Papier,ES-2011-3667388,Astrid Parenteau,Rhénanie-du-Nord-Westphalie,"Enermax Ramette, Recyclé",J+2,Allemagne,0,1,TR1,Fournitures de bureau,FOU-PA-10000615,28-Sep-14,3,4.23,120,85.14,23-Sep-14,AP-11140,Krefeld,0
Centre,0,Bibliothèques,ES-2011-2736116,Clovis Davignon,Berlin,"Bush Étagère d'angle, Noir",Tarif normal,Allemagne,0.2,0,TR1,Mobilier,MOB-BI-10001818,05-Jul-14,4,140.328,9049,401.088,28-Jun-14,CD-12940,Berlin,1
Sud,1,Art,ES-2011-3714548,Martin Jomphe,Sicile,"BIC Marqueurs, Tailles assorties",Tarif normal,Italie,0,0,TR1,Fournitures de bureau,FOU-AR-10001034,25-Sep-14,4,41.4,9844,118.44,20-Sep-14,MJ-17395,Catane,0
Sud,1,Chaises,IT-2011-2889545,Franck Rousseau,Latium,"Harbour Creations Chaise de plage, Noir",Tarif normal,Italie,0.6,0,TR2,Mobilier,MOB-CH-10002874,28-Feb-14,2,-60.408,3556,47.352,23-Feb-14,FR-14590,Rome,0
Centre,0,Art,IT-2011-2876489,Prunella Patenaude,Bourgogne-Franche-Comté,"Sanford Stylos, Bleu",Prioritaire,France,0,1,TR1,Fournitures de bureau,FOU-AR-10001382,24-Jun-14,1,2.64,3703,11.1,21-Jun-14,PP-19330,Dijon,0
Centre,0,Classeurs,ES-2011-2187197,Daisy Migneault,Aquitaine-Limousin-Poitou-Charentes,"Avery Machine à relier, Économique",Le même jour,France,0,1,TR1,Fournitures de bureau,FOU-CL-10003955,08-Sep-14,2,11.7,5238,97.68,08-Sep-14,DM-13165,Bordeaux,0
Sud,0,Classeurs,ES-2011-5953080,Clarice Artois,Lombardie,"Wilson Jones Couverture de classeur, Recyclé",Tarif normal,Italie,0,1,TR1,Fournitures de bureau,FOU-CL-10001014,23-May-14,3,8.28,5802,34.65,17-May-14,CA-12895,Milan,0
Nord,0,Photocopieurs,ES-2011-4314394,Xavierre Racine,Angleterre,"Sharp Photocopieur personnel, Numérique",Tarif normal,Royaume-Uni,0,1,TR1,Produits technologiques,PRO-PH-10004878,26-Sep-14,3,179.46,1920,358.92,19-Sep-14,XR-21850,Blackburn,0
Centre,0,Éléments de fixation,ES-2011-3679996,Gemma Royer,Bavière,"OIC Colliers, Métal",J+2,Allemagne,0,1,TR1,Fournitures de bureau,FOU-ÉL-10001773,27-Mar-14,5,44.7,7074,99.45,25-Mar-14,GR-15025,Munich,0
Sud,1,Art,IT-2011-1780558,Jérôme Panetier,Campanie,"Binney & Smith Taille-crayon, Tailles assorties",Tarif normal,Italie,0,0,TR1,Fournitures de bureau,FOU-AR-10002292,29-May-14,2,13.68,6884,59.7,25-May-14,JP-16105,Naples,0
Nord,0,Stockage,ES-2011-3002504,Algernon Leblanc,Angleterre,"Tenex Chariot, Industriel",Le même jour,Royaume-Uni,0,1,TR1,Fournitures de bureau,FOU-ST-10002196,08-Dec-14,1,63.24,8010,134.61,08-Dec-14,AL-10480,Harrow,0
Sud,0,Meubles,ES-2011-3353574,Paulette Paré,Toscane,"Advantus Horloge, Noir",Tarif normal,Italie,0,1,TR1,Mobilier,MOB-ME-10003873,26-Feb-14,2,29.76,2372,102.78,22-Feb-14,PP-18895,Grosseto,0
Sud,0,Étiquettes,ES-2011-3429709,Paul Doyon,Madrid,"Smead Étiquettes repositionnables, Blanc",Tarif normal,Espagne,0,1,TR1,Fournitures de bureau,FOU-ÉT-10004391,30-Jan-14,3,10.08,7132,31.5,26-Jan-14,PD-18850,Madrid,0
Centre,0,Art,ES-2011-5539778,Diane Beaudouin,Hesse,"Sanford Surligneurs, Emballage en vrac",Prioritaire,Allemagne,0,1,TR1,Fournitures de bureau,FOU-AR-10000102,13-Aug-14,4,2.52,1769,64.08,11-Aug-14,DB-13435,Wiesbaden,0
Centre,0,Téléphones,ES-2011-5504927,Thérèse Provencher,Languedoc-Roussillon-Midi-Pyrénées,"Motorola Amplificateur de signal, Taille réelle",Prioritaire,France,0.15,0,TR1,Produits technologiques,PRO-TÉ-10001199,27-Mar-14,2,2.874,2927,245.514,24-Mar-14,TP-21025,Carcassonne,1
Sud,0,Classeurs,ES-2011-4864498,Astrid Gour,Castille-et-León,"Avery Couverture de classeur, Clair",J+2,Espagne,0,0,TR1,Fournitures de bureau,FOU-CL-10001681,16-Apr-14,2,4.8,9472,21.06,12-Apr-14,AG-11125,Ponferrada,1
Centre,0,Électroménager,IT-2011-2403893,Olivier Dandonneau,Basse-Saxe,"Breville Réfrigérateur, Blanc",J+2,Allemagne,0.1,1,TR1,Fournitures de bureau,FOU-ÉL-10001289,08-Nov-14,2,103.446,3898,931.446,05-Nov-14,OD-18415,Celle,0
Nord,1,Classeurs,ES-2011-2225020,Ferdinand Houde,Angleterre,"Wilson Jones Perforatrice, Économique",Tarif normal,Royaume-Uni,0.1,0,TR1,Fournitures de bureau,FOU-CL-10002465,30-Aug-14,3,19.233,3659,75.573,23-Aug-14,FH-14335,Londres,0
Centre,0,Meubles,ES-2011-5496179,Serge Gilbert,Île-de-France,"Advantus Cadre, Durable",J+2,France,0,1,TR1,Mobilier,MOB-ME-10003131,09-Jan-14,3,35.64,4646,324.45,06-Jan-14,SG-20395,Paris,0
Nord,1,Stockage,IT-2011-2660642,Natalie Gosselin,Stockholm,"Tenex Casiers, Métal",J+2,Suède,0.5,0,TR2,Fournitures de bureau,FOU-ST-10000387,12-May-14,6,-231.84,5371,609.66,10-May-14,NG-18040,Stockholm,0
Centre,0,Accessoires,ES-2011-2413369,David Arcouet,Rhénanie-du-Nord-Westphalie,"Memorex Routeur, Recyclé",Tarif normal,Allemagne,0,1,TR1,Produits technologiques,PRO-AC-10000833,26-Jun-14,4,292.8,3664,976.08,22-Jun-14,DA-13285,Minden,0
Nord,0,Stockage,ES-2011-4016076,Thierry Dumont,Angleterre,"Fellowes Dossiers, Taille réelle",Tarif normal,Royaume-Uni,0,1,TR1,Fournitures de bureau,FOU-ST-10003978,30-Apr-14,6,64.98,4160,158.58,26-Apr-14,TD-21070,Halifax,0
Sud,0,Art,ES-2011-3581861,Thérèse Sylvain,Lombardie,"Stanley Marqueurs, Bleu",Tarif normal,Italie,0,0,TR1,Fournitures de bureau,FOU-AR-10002093,18-Sep-14,5,9.9,2453,111,12-Sep-14,TS-21040,Bergame,1
Sud,0,Étiquettes,ES-2011-2382517,Mathilde Gabriaux,Émilie-Romagne,"Harbour Creations Étiquettes couleur, Ajustable",Tarif normal,Italie,0,0,TR1,Fournitures de bureau,FOU-ÉT-10004965,10-Sep-14,5,7.5,5799,54,06-Sep-14,MG-17545,Reggio nell'Emilia,1
Nord,1,Enveloppes,ES-2011-2695590,Karel Cyr,Angleterre,"Kraft Enveloppe interservices, Recyclé",Tarif normal,Royaume-Uni,0,0,TR1,Fournitures de bureau,FOU-EN-10002007,15-Aug-14,11,165.66,5983,502.92,09-Aug-14,KC-16300,Harrow,0
Centre,0,Art,ES-2011-5957871,Bruno Courtois,Anvers,"Boston Toile, Bleu",Prioritaire,Belgique,0,1,TR1,Fournitures de bureau,FOU-AR-10003577,01-May-14,3,40.23,3163,160.92,29-Apr-14,BC-11995,Anvers,0
Sud,0,Chaises,ES-2011-3805636,Gabriel Souplet,Catalogne,"Hon Fauteuil, Réglable",Tarif normal,Espagne,0.2,1,TR1,Mobilier,MOB-CH-10001711,24-Oct-14,5,160.77,110,1838.52,17-Oct-14,GS-14710,Barcelone,0
Centre,0,Électroménager,ES-2011-5752766,Armand Cailot,Flandre-Orientale,"Hoover Réfrigérateur, Blanc",Tarif normal,Belgique,0,1,TR1,Fournitures de bureau,FOU-ÉL-10000792,03-Oct-14,8,839.04,9934,4195.2,28-Sep-14,AC-10870,Gand,0
Sud,1,Stockage,IT-2011-5084706,Léviana Bergeron,Sicile,"Eldon Plateaux, Métal",Tarif normal,Italie,0.4,0,TR2,Fournitures de bureau,FOU-ST-10001362,03-Jul-14,2,-0.972000000,7944,56.448,27-Jun-14,LB-16585,Messine,0
Centre,0,Machines,ES-2011-3121115,Quincy Dufour,Bade-Wurtemberg,"Konica Téléphone, Rouge",Tarif normal,Allemagne,0,1,TR1,Produits technologiques,PRO-MA-10000652,27-Nov-14,7,244.86,3305,583.38,23-Nov-14,QD-19450,Ulm,0
Sud,1,Meubles,IT-2011-3264984,Verrill Migneault,Andalousie,"Rubvermaid Butée de porte, Qualité supérieure",Tarif normal,Espagne,0,0,TR1,Mobilier,MOB-ME-10000080,21-Feb-14,3,19.08,9288,127.26,15-Feb-14,VM-21565,Séville,0
Centre,0,Meubles,ES-2011-1084683,Félicien Brault,Rhénanie-du-Nord-Westphalie,"Eldon Plateau d'empilement, Noir",J+2,Allemagne,0,1,TR1,Mobilier,MOB-ME-10000147,14-Jul-14,2,7.56,6712,63,12-Jul-14,FB-14305,Remscheid,0
Centre,0,Photocopieurs,IT-2011-1549226,Delphine Loiselle,Hollande-Méridionale,"Canon Photocopieur, Numérique",Prioritaire,Pays-Bas,0.5,1,TR2,Produits technologiques,PRO-PH-10004067,28-Aug-14,3,-306.36,4689,392.67,25-Aug-14,DL-13330,La Haye,0
Centre,0,Art,ES-2011-1647523,Tristan Lalonde,Île-de-France,"Boston Toile, Métal",Prioritaire,France,0,1,TR1,Fournitures de bureau,FOU-AR-10003411,21-Sep-14,5,49.35,8464,274.5,19-Sep-14,TL-21220,Poissy,0
Nord,0,Éléments de fixation,IT-2011-1802563,Amory Thibodeau,Angleterre,"OIC Agrafes, Métal",J+2,Royaume-Uni,0.5,1,TR2,Fournitures de bureau,FOU-ÉL-10002794,09-Nov-14,3,-3.15,5675,17.19,04-Nov-14,AT-10645,Birmingham,0
Centre,1,Téléphones,ES-2011-4691256,Minie Salois,Normandie,"Apple Téléphone de bureau, Emballage en vrac",J+2,France,0.15,0,TR1,Produits technologiques,PRO-TÉ-10001298,09-Jun-14,4,60.138,6013,222.258,07-Jun-14,MS-17905,Évreux,0
Centre,0,Papier,IT-2011-5340302,Gabriel Giguère,Hollande-Méridionale,"Green Bar Papier à lettres, Multicolore",Tarif normal,Pays-Bas,0.5,1,TR2,Fournitures de bureau,FOU-PA-10003250,19-Jan-14,2,-37.86,1181,49.8,13-Jan-14,GG-14680,Dordrecht,0
Centre,1,Papier,ES-2011-3259196,Panxita Francoeur,Hambourg,"Xerox Fiches mémo, Par paquet de 12",Le même jour,Allemagne,0,0,TR1,Fournitures de bureau,FOU-PA-10001440,13-Oct-14,2,3.48,7611,35.34,13-Oct-14,PF-18655,Hambourg,0
Sud,0,Enveloppes,IT-2011-5015979,Odo Michel,Toscane,"Cameo Enveloppe kraft, Argent",Tarif normal,Italie,0,1,TR1,Fournitures de bureau,FOU-EN-10002073,04-Oct-14,7,100.8,8526,205.8,27-Sep-14,OM-18385,Carrare,0
Centre,0,Classeurs,ES-2011-5268439,Garance Labelle,Île-de-France,"Avery Perforatrice, Recyclé",J+2,France,0,0,TR1,Fournitures de bureau,FOU-CL-10004615,01-May-14,2,0,2224,56.46,29-Apr-14,GL-14875,Versailles,1
Centre,0,Art,IT-2011-3760449,Delphine Loiselle,Berlin,"Boston Marqueurs, Emballage en vrac",J+2,Allemagne,0.1,1,TR1,Fournitures de bureau,FOU-AR-10001336,05-Aug-14,2,-0.588,187,47.952,03-Aug-14,DL-13330,Berlin,0
Centre,0,Stockage,ES-2011-4302063,Louise Paiement,Vienne,"Tenex Plateaux, Métal",J+2,Autriche,0,1,TR1,Fournitures de bureau,FOU-ST-10004209,18-Nov-14,6,159.84,6845,319.68,16-Nov-14,LP-16735,Vienne,0
Centre,0,Classeurs,ES-2011-1664904,Olympia Bélanger,Pays de la Loire,"Avery Machine à relier, Recyclé",Tarif normal,France,0,0,TR1,Fournitures de bureau,FOU-CL-10000379,07-Dec-14,5,105.75,5639,246,02-Dec-14,OB-18445,La Baule-Escoublac,1
Centre,0,Électroménager,ES-2011-2111237,Audrey Louineaux,Île-de-France,"Hoover Micro-ondes, Rouge",Tarif normal,France,0.1,1,TR1,Fournitures de bureau,FOU-ÉL-10003301,06-May-14,5,154.23,1337,1388.88,02-May-14,AL-11320,Pontoise,0
Centre,1,Art,ES-2011-5253790,Romaine Quiron,Hesse,"BIC Stylos, Tailles assorties",Le même jour,Allemagne,0,0,TR1,Fournitures de bureau,FOU-AR-10002298,28-Jun-14,7,49.98,9432,122.22,27-Jun-14,RQ-19885,Wiesbaden,0
Centre,1,Accessoires,ES-2011-5499567,Téa Auberjonois,Provence-Alpes-Côte d'Azur,"Belkin Carte mémoire, Recyclé",Tarif normal,France,0,0,TR1,Produits technologiques,PRO-AC-10003162,02-Jul-14,1,56.31,8064,112.62,27-Jun-14,TA-20860,Saint-Laurent-du-Var,0
Centre,1,Électroménager,ES-2011-3661686,Dino Coupart,Basse-Saxe,"Cuisinart Micro-ondes, Blanc",J+2,Allemagne,0.1,0,TR1,Fournitures de bureau,FOU-ÉL-10001238,20-Jan-14,1,2.760000000,6023,248.94,15-Jan-14,DC-13510,Langen,0
Sud,0,Art,ES-2011-3188488,Lorie Barrientos,Catalogne,"BIC Toile, Tailles assorties",J+2,Espagne,0,1,TR1,Fournitures de bureau,FOU-AR-10002251,07-Feb-14,1,0.54,956,56.88,02-Feb-14,LB-16645,Barcelone,0
Centre,0,Fournitures,ES-2011-2619050,Jacques Morin,Rhénanie-du-Nord-Westphalie,"Fiskars Cutter, Rectangulaire",Prioritaire,Allemagne,0,1,TR1,Fournitures de bureau,FOU-FO-10004677,09-Sep-14,3,30.87,4080,96.66,08-Sep-14,JM-15910,Oberhausen,0
Centre,1,Enveloppes,ES-2011-5389664,Odile Pitre,Overijssel,"GlobeWeis Enveloppe kraft, Livré par 50",Tarif normal,Pays-Bas,0.5,0,TR2,Fournitures de bureau,FOU-EN-10001463,13-Feb-14,4,-18.66,4708,54.78,09-Feb-14,OP-18355,Almelo,0
Centre,0,Électroménager,ES-2011-2399281,Amarante Bonami,Flandre-Orientale,"Breville Grille-pain, Noir",Prioritaire,Belgique,0,1,TR1,Fournitures de bureau,FOU-ÉL-10000567,11-Jun-14,2,44.16,2693,152.28,08-Jun-14,AB-10585,Gand,0
Nord,0,Stockage,ES-2011-1849602,Delphine Bonami,Angleterre,"Eldon Rayonnage, Taille réelle",Tarif normal,Royaume-Uni,0,1,TR1,Fournitures de bureau,FOU-ST-10003528,18-Jul-14,4,0,8305,193.8,13-Jul-14,DB-13315,Bideford,0
Sud,1,Art,ES-2011-2835499,Vartan LeBatelier,Pouilles,"Boston Surligneurs, Bleu",J+2,Italie,0,0,TR1,Fournitures de bureau,FOU-AR-10004341,20-Apr-14,3,14.13,6502,56.61,18-Apr-14,VL-21430,Brindisi,0
Centre,0,Classeurs,IT-2011-4378136,Lydia Gervais,Berlin,"Avery Onglets, Clair",Tarif normal,Allemagne,0.1,0,TR1,Fournitures de bureau,FOU-CL-10002858,03-Nov-14,6,5.886,7281,31.266,28-Oct-14,LG-16795,Berlin,1
Centre,0,Art,ES-2011-3870093,Lorie Benoit,Berlin,"Stanley Marqueurs, Métal",J+2,Allemagne,0.1,1,TR1,Fournitures de bureau,FOU-AR-10002710,11-Dec-14,5,28.02,3693,105.57,07-Dec-14,LB-16660,Berlin,0
Sud,1,Accessoires,IT-2011-1780558,Jérôme Panetier,Campanie,"Belkin Carte mémoire, Programmable",Tarif normal,Italie,0,0,TR1,Produits technologiques,PRO-AC-10001588,29-May-14,6,209.34,6883,697.86,25-May-14,JP-16105,Naples,0
Centre,0,Art,ES-2011-2696233,Lucas Dastous,Auvergne-Rhône-Alpes,"Boston Marqueurs, Métal",Tarif normal,France,0,1,TR1,Fournitures de bureau,FOU-AR-10001589,25-Apr-14,3,12.42,3416,82.89,19-Apr-14,LD-16810,Riom,0
Centre,0,Classeurs,ES-2011-4926746,Rupert Begin,Pays de la Loire,"Wilson Jones Perforatrice, Durable",J+2,France,0,0,TR1,Fournitures de bureau,FOU-CL-10000290,06-Mar-14,2,12.36,878,58.98,03-Mar-14,RB-19705,Nantes,1
Sud,1,Stockage,IT-2011-2506333,Denis Giguère,Piémont,"Eldon Plateaux, Métal",Tarif normal,Italie,0.4,0,TR2,Fournitures de bureau,FOU-ST-10001362,28-Aug-14,3,-1.458000000,1608,84.672,24-Aug-14,DG-13345,Turin,0
Nord,0,Enveloppes,IT-2011-2803139,Burkett Lereau,Dublin,"Ames Auto-adhésive, Livré par 50",J+2,Irlande,0.5,0,TR2,Fournitures de bureau,FOU-EN-10001315,26-Dec-14,5,-3.825,5091,46.725,21-Dec-14,BL-12040,Dublin,1
Sud,0,Stockage,ES-2011-3614277,Rudy Parmentier,Communauté Valencienne,"Rogers Rayonnage, Taille réelle",J+2,Espagne,0.1,0,TR1,Fournitures de bureau,FOU-ST-10000763,03-Dec-14,2,-2.532,6750,111.888,01-Dec-14,RP-20155,Valence,1
Centre,0,Machines,IT-2011-1097469,Armand Laliberté,Provence-Alpes-Côte d'Azur,"Konica Imprimante, Multicolore",Tarif normal,France,0.15,1,TR1,Produits technologiques,PRO-MA-10001420,05-Sep-14,3,-96.498,2209,682.992,30-Aug-14,AL-10885,Vallauris,0
Centre,1,Art,ES-2011-1460199,Romaine Chastain,Basse-Saxe,"Binney & Smith Toile, Bleu",Tarif normal,Allemagne,0,0,TR1,Fournitures de bureau,FOU-AR-10000560,19-Jan-14,5,48.75,1706,256.8,12-Jan-14,RC-19855,Lohne,0
Sud,1,Stockage,IT-2011-4913414,Eliott Bazinet,Campanie,"Fellowes Plateaux, Bleu",J+2,Italie,0.4,0,TR2,Fournitures de bureau,FOU-ST-10000473,18-Dec-14,10,-189.66,4742,344.34,13-Dec-14,EB-13765,Naples,0
Centre,1,Enveloppes,IT-2011-2075149,Orville Melanson,Gueldre,"Cameo Auto-adhésive, Livré par 50",Tarif normal,Pays-Bas,0.5,0,TR2,Fournitures de bureau,FOU-EN-10002197,02-May-14,5,-35.7,9340,52.5,27-Apr-14,OM-18625,Nimègue,0
Nord,0,Stockage,ES-2011-3286627,Odo Michel,Halland,"Tenex Rayonnage, Bleu",Prioritaire,Suède,0.5,1,TR2,Fournitures de bureau,FOU-ST-10002520,17-Jun-14,3,-73.8,3396,81.99,15-Jun-14,OM-18385,Halmstad,0
Nord,0,Bibliothèques,ES-2011-5608714,Cher Lagacé,Angleterre,"Bush Étagères, Noir",Tarif normal,Royaume-Uni,0,1,TR1,Mobilier,MOB-BI-10002379,22-Sep-14,3,160.47,4758,517.86,18-Sep-14,CL-12685,Dudley,0
Centre,0,Art,ES-2011-4182812,Verrill Sansouci,Rhénanie-du-Nord-Westphalie,"Stanley Marqueurs, Métal",Tarif normal,Allemagne,0,1,TR1,Fournitures de bureau,FOU-AR-10002710,08-May-14,8,63.6,4048,187.68,04-May-14,VS-21580,Cologne,0
Centre,1,Stockage,ES-2011-2464932,Auguste Louineaux,Auvergne-Rhône-Alpes,"Eldon Boîte, Industriel",Prioritaire,France,0.1,0,TR1,Fournitures de bureau,FOU-ST-10000781,09-Jun-14,3,8.658,8174,28.998,06-Jun-14,AL-11380,Oyonnax,0
Nord,0,Téléphones,ES-2011-5083754,Pierre-Paul Brunault,Angleterre,"Cisco Smartphone, Tailles assorties",Tarif normal,Royaume-Uni,0,1,TR1,Produits technologiques,PRO-TÉ-10004058,24-Sep-14,4,56.52,4697,565.32,20-Sep-14,PB-19105,Leeds,0
Centre,0,Classeurs,ES-2011-5498995,Thibaut Pariseau,Aquitaine-Limousin-Poitou-Charentes,"Avery Couverture de classeur, Durable",J+2,France,0,1,TR1,Fournitures de bureau,FOU-CL-10003798,24-Apr-14,1,1.62,8230,12.57,19-Apr-14,TP-21055,Limoges,0
Centre,0,Classeurs,ES-2011-1550182,Aubrey Louineaux,Provence-Alpes-Côte d'Azur,"Ibico Renforts de perforations, Économique",Tarif normal,France,0,1,TR1,Fournitures de bureau,FOU-CL-10002040,26-Aug-14,3,10.26,4879,20.97,22-Aug-14,AL-11290,Cavaillon,0
Centre,1,Stockage,ES-2011-5433855,Coryne Rouze,Provence-Alpes-Côte d'Azur,"Smead Casiers, Industriel",Prioritaire,France,0.1,0,TR1,Fournitures de bureau,FOU-ST-10002409,08-Jan-14,4,143.16,6570,716.04,07-Jan-14,CR-13105,La Seyne-sur-Mer,0
Centre,0,Chaises,ES-2011-1222857,Constance Brisebois,Languedoc-Roussillon-Midi-Pyrénées,"Harbour Creations Tabouret, Noir",Tarif normal,France,0.6,1,TR2,Mobilier,MOB-CH-10003873,04-Oct-14,2,-95.988,2221,142.152,30-Sep-14,CB-13000,Toulouse,0
Centre,1,Meubles,ES-2011-3746760,Faustine Busson,Rhénanie-du-Nord-Westphalie,"Advantus Ampoule, Multi-emballage",Tarif normal,Allemagne,0,0,TR1,Mobilier,MOB-ME-10004760,01-Feb-14,1,4.02,4438,20.13,25-Jan-14,FB-14215,Menden,0
Centre,1,Électroménager,ES-2011-4154402,Christine LaCaille,Rhénanie-Palatinat,"KitchenAid Grille-pain, Noir",Tarif normal,Allemagne,0.1,0,TR1,Fournitures de bureau,FOU-ÉL-10003202,26-Jun-14,3,50.805,2896,228.825,22-Jun-14,CL-12805,Ludwigshafen,0
Centre,0,Accessoires,ES-2011-2095931,Verney Aubé,Alsace-Champagne-Ardenne-Lorraine,"Memorex Routeur, Durable",Tarif normal,France,0,0,TR1,Produits technologiques,PRO-AC-10003476,21-Apr-14,5,98.55,1806,1232.1,16-Apr-14,VA-21460,Nancy,1
Sud,1,Stockage,IT-2011-2506333,Denis Giguère,Piémont,"Eldon Dossiers, Taille réelle",Tarif normal,Italie,0.4,0,TR2,Fournitures de bureau,FOU-ST-10002518,28-Aug-14,5,5.880000000,1606,51.03,24-Aug-14,DG-13345,Turin,0
Centre,0,Classeurs,ES-2011-1228490,Burrell Cailot,Provence-Alpes-Côte d'Azur,"Cardinal Perforatrice, Économique",J+2,France,0,0,TR1,Fournitures de bureau,FOU-CL-10002597,28-Oct-14,5,64.8,7582,144,24-Oct-14,BC-12070,Marseille,1
Nord,0,Art,IT-2011-3643140,Constance Bonneville,Angleterre,"Boston Surligneurs, Bleu",Tarif normal,Royaume-Uni,0,1,TR1,Fournitures de bureau,FOU-AR-10004341,18-Nov-14,1,4.71,4696,18.87,14-Nov-14,CB-12985,Bolton,0
Sud,0,Bibliothèques,IT-2011-4752666,Prunella Patenaude,Navarra,"Ikea Bibliothèque, Métal",J+2,Espagne,0,1,TR1,Mobilier,MOB-BI-10003259,20-Jun-14,5,653.1,6384,1814.25,18-Jun-14,PP-19330,Pampelune,0
Nord,1,Fournitures,ES-2011-3128239,Norbert Casgrain,Angleterre,"Kleencut Cutter, Rectangulaire",J+2,Royaume-Uni,0,0,TR1,Fournitures de bureau,FOU-FO-10003131,20-Sep-14,8,54.96,8465,250.8,17-Sep-14,NC-18280,Plymouth,0
Sud,1,Électroménager,ES-2011-3248922,Éloïse Généreux,Galice,"Hamilton Beach Plaque de cuisson, Argent",J+2,Espagne,0,0,TR1,Fournitures de bureau,FOU-ÉL-10001272,11-Sep-14,12,2476.44,3266,6517.08,08-Sep-14,ÉG-13855,Lugo,0
Nord,0,Classeurs,ES-2011-3940520,Mirabelle Flamand,Oslo,"Avery Classeur, Économique",Tarif normal,Norvège,0,1,TR1,Fournitures de bureau,FOU-CL-10004334,30-Jan-14,4,20.04,1535,51.6,26-Jan-14,MF-17920,Oslo,0
Centre,0,Chaises,ES-2011-2413369,David Arcouet,Rhénanie-du-Nord-Westphalie,"Harbour Creations Rocking chair, Réglable",Tarif normal,Allemagne,0.1,1,TR1,Mobilier,MOB-CH-10000450,26-Jun-14,6,197.352,3663,807.732,22-Jun-14,DA-13285,Minden,0
Centre,1,Meubles,ES-2011-4559599,Liane Carignan,Vienne,"Eldon Horloge, Noir",Tarif normal,Autriche,0,0,TR1,Mobilier,MOB-ME-10000917,24-Oct-14,1,15.81,6782,56.52,20-Oct-14,LC-16615,Vienne,0
Centre,0,Classeurs,ES-2011-1657853,Daisy Migneault,Rhénanie-du-Nord-Westphalie,"Cardinal Perforatrice, Clair",Prioritaire,Allemagne,0,1,TR1,Fournitures de bureau,FOU-CL-10002162,30-May-14,5,29.55,925,141.3,27-May-14,DM-13165,Pulheim,0
Sud,0,Meubles,ES-2011-5912381,Audric Binet,Pouilles,"Tenex Cadre, Qualité supérieure",Le même jour,Italie,0,0,TR1,Mobilier,MOB-ME-10003883,22-Sep-14,3,107.46,9909,325.8,22-Sep-14,AB-11335,Molfetta,1
Centre,0,Photocopieurs,ES-2011-3431770,Sydney Lapresse,Bavière,"Canon Télécopieur et photocopieur, Rouge",J+2,Allemagne,0,1,TR1,Produits technologiques,PRO-PH-10002010,07-May-14,2,26.52,4630,379.08,04-May-14,SL-20800,Munich,0
Centre,0,Art,ES-2011-3249450,Jeanne Grimard,Hambourg,"Binney & Smith Carnet de croquis, Bleu",Tarif normal,Allemagne,0,0,TR1,Fournitures de bureau,FOU-AR-10001026,12-Oct-14,2,24.06,4084,92.64,08-Oct-14,JG-16045,Hambourg,1
Centre,0,Tables,IT-2011-5629016,Valentin Bériault,Aquitaine-Limousin-Poitou-Charentes,"Hon Table d'ordinateur, Rectangulaire",Priorité,France,0.35,1,TR2,Mobilier,MOB-TA-10001600,02-Jun-14,7,-754.4145,451,2228.6355,30-May-14,VB-21295,Talence,0
Centre,0,Enveloppes,ES-2011-4436456,Gemma Royer,Alsace-Champagne-Ardenne-Lorraine,"Kraft Enveloppe à fermoir, Recyclé",Le même jour,France,0.5,1,TR2,Fournitures de bureau,FOU-EN-10000880,26-Jan-14,3,-8.01,9528,11.7,26-Jan-14,GR-15025,Reims,0
Centre,0,Téléphones,ES-2011-2954601,Florianne Duffet,Bavière,"Apple Téléphone de bureau, Emballage en vrac",J+2,Allemagne,0,1,TR1,Produits technologiques,PRO-TÉ-10001298,06-Aug-14,1,24.84,2698,65.37,03-Aug-14,FD-14515,Passau,0
Centre,0,Classeurs,IT-2011-4771701,Thérèse Provencher,Pays de la Loire,"Cardinal Renforts de perforations, Économique",J+2,France,0,0,TR1,Fournitures de bureau,FOU-CL-10000557,23-Sep-14,4,8.64,9607,21.36,21-Sep-14,TP-21025,La Baule-Escoublac,1
Sud,0,Classeurs,ES-2011-3666932,Matilda Bernard,Sicile,"Wilson Jones Machine à relier, Clair",Prioritaire,Italie,0,0,TR1,Fournitures de bureau,FOU-CL-10001076,20-Jan-14,3,43.56,1350,145.26,19-Jan-14,MB-17560,Trapani,1
